Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Karamoja,Abim District,6,7,13,13832,7550,21382,13164,6351,19515,5904,4589,10493,9173,8755,17928,6,13650,13656,7,7481,7488,99130,88806,187936,9042,8597,17639,5823,4533,10356,4533,7,4540,4533,7335,11868,12598,6130,18728,7,8448,8455,5707,4429,10136,470,887,1357,42079,27252,69331,9230,8762,17992,107966,144084,2301,1.029278437,139985.445,60.83678617,2.7067,33.6595
Acholi,Acholi,383,335,718,298281,181956,480237,277994,94253,372247,130518,105993,236511,159568,151108,310676,362,287046,287408,311,171854,172165,2013520,1843064,3856584,155294,146676,301970,125877,101700,227577,101700,305,102005,101700,188280,289980,269770,90483,360253,305,147953,148258,127927,103749,231676,9068,19287,28355,866744,533645,1400389,134839,151443,286282,1500762,2044355,28522,1.031393639,1982128.764,69.49473263,,
West Nile,Adjumani District,20,16,36,54336,42042,96378,48505,22245,70750,29568,24849,54417,29881,29245,59126,70,53366,53436,15,41269,41284,416526,402432,818958,29251,28523,57774,28749,24483,53232,24483,15,24498,24483,41229,65712,47130,21390,68520,15,28460,28475,28619,24463,53082,1271,3501,4772,162310,118397,280707,11955,29261,41216,107966,144084,2301,1.029278437,139985.445,60.83678617,3.2549,31.7195
Acholi,Agago District,28,29,57,56351,32883,89234,53613,15373,68986,23601,18351,41952,27579,26071,53650,26,56222,56248,29,32768,32797,369294,329094,698388,27528,26022,53550,23488,18334,41822,18334,29,18363,18334,32478,50812,53043,15220,68263,29,25763,25792,23432,18208,41640,1344,3064,4408,161172,92707,253879,24266,26100,50366,227792,307235,3493,1.03037004,298179.2833,85.36481058,2.9251, 33.3486
Lango,Alebtong District,9,16,25,19726,9110,28836,24342,6595,30937,9321,7031,16352,12591,11506,24097,9,19725,19734,16,9110,9126,138618,127036,265654,12562,11484,24046,9319,7031,16350,7031,16,7047,7031,9044,16075,24079,6525,30604,16,11391,11407,9231,6979,16210,1586,3373,4959,65989,34258,100247,12061,11522,23583,227541,283509,1534,1.022234935,277342.3118,180.7968134,2.2914,33.2139
Lango,Amolatar District,15,10,25,18021,10214,28235,16716,6757,23473,7340,5927,13267,7572,7106,14678,15,17870,17885,10,10137,10147,111954,98834,210788,7475,6963,14438,7292,5894,13186,5894,10,5904,5894,9995,15889,16216,6601,22817,10,6854,6864,7201,5823,13024,751,1747,2498,49664,30014,79678,4552,7116,11668,147166,188715,1163,1.025179454,184079.967,158.2802812,1.6054,32.8084
Karamoja,Amudat District,1,1,2,2990,2585,5575,7862,2716,10578,2190,2095,4285,3109,2927,6036,1,2917,2918,1,2551,2552,31582,32956,64538,2947,2783,5730,2096,2030,4126,2030,1,2031,2030,2561,4591,7636,2621,10257,1,2783,2784,2096,2029,4125,134,405,539,16152,10324,26476,3084,2928,6012,105769,203358,1616,1.067555067,190489.471,117.8771479,1.7916,34.9066
Teso,Amuria District,40,20,60,25010,13545,38555,26440,8430,34870,10901,8090,18991,11162,10352,21514,40,24989,25029,19,13542,13561,158190,140126,298316,11161,10354,21515,10889,8079,18968,8079,19,8098,8079,13403,21482,26381,8417,34798,19,10297,10316,10820,7948,18768,977,2113,3090,73553,40437,113990,10400,10372,20772,183348,251653,1383,1.032173235,243808.8795,176.2898623,2.0302,33.6428
Acholi,Amuru District,50,27,77,25177,13507,38684,23821,8724,32545,10643,8214,18857,14494,14057,28551,50,24979,25029,27,13442,13469,171812,153260,325072,14378,13926,28304,10554,8164,18718,8164,27,8191,8164,13253,21417,23001,8556,31557,27,13619,13646,10381,8012,18393,814,1408,2222,74185,44529,118714,11240,14084,25324,186696,247574,3619,1.028624826,240684.4494,66.50578873,3.1042,32.0837
Ankole,Ankole,295,214,509,96857,83971,180828,123498,80621,204119,43580,38484,82064,37070,33898,70968,264,93086,93350,191,81739,81930,656624,600690,1257314,35199,32184,67383,41914,36836,78750,36836,188,37024,36836,80352,117188,116568,76618,193186,188,31499,31687,40965,36032,76997,1569,5402,6971,301300,237188,538488,24994,34112,59106,2895631,3608968,15067,1.022266152,3530360.456,234.3107756,,
Lango,Apac District,28,20,48,26929,14242,41171,30238,12484,42722,8750,6660,15410,10332,9202,19534,28,26541,26569,19,14101,14120,151266,123238,274504,10204,9077,19281,8659,6596,15255,6596,17,6613,6596,13874,20470,29044,12219,41263,17,8963,8980,8512,6528,15040,1195,2709,3904,76277,42608,118885,7896,9222,17118,185322,221962,1783,1.018204859,217993.4599,122.262176,1.8445,32.4014
West Nile,Arua City,60,53,113,14260,8637,22897,18354,9247,27601,7694,6445,14139,7844,7372,15216,52,13757,13809,45,8341,8386,103100,97784,200884,7605,7120,14725,7445,6149,13594,6149,44,6193,6149,8231,14380,17444,8795,26239,44,7146,7190,7373,6117,13490,1163,2928,4091,48212,31754,79966,5223,7425,12648,309052,384656,404,1.022125199,376329.632,931.5089902,3.0274,30.9071
West Nile,Arua District,1,5,6,9781,5607,15388,8340,3063,11403,4276,3055,7331,3595,3146,6741,1,8695,8696,5,5042,5047,55630,46174,101804,3083,2779,5862,3600,2613,6213,2613,5,2618,2613,5781,8394,7988,3008,10996,5,3111,3116,4241,3038,7279,433,720,1153,25993,14876,40869,1548,3151,4699,133534,159722,800,1.018069175,156887.1781,196.1089727,3.0018,30.9876
Bukedi,Budaka District,22,17,39,16865,8492,25357,19743,6177,25920,9580,7526,17106,14680,13280,27960,22,16931,16953,17,8486,8503,141044,136414,277458,14619,13232,27851,9562,7512,17074,7512,17,7529,7512,8241,15753,19091,5878,24969,17,12885,12902,9310,7339,16649,1429,3250,4679,60890,35492,96382,13057,13297,26354,207597,281537,410,1.030935371,273088.8936,666.0704723,1.1005,34.0196
Bugisu,Bududa District,20,16,36,4109,3034,7143,6471,3777,10248,1772,1355,3127,1704,1598,3302,20,4099,4119,16,3023,3039,27174,24272,51446,1703,1597,3300,1763,1352,3115,1352,16,1368,1352,3001,4353,6440,3706,10146,16,1594,1610,1755,1351,3106,366,906,1272,14076,9780,23856,1018,1614,2632,210173,26897,318,0.814165494,33036.28096,103.887676,1.003,34.3338
Busoga,Bugiri District,27,16,43,18601,10440,29041,27184,10799,37983,13953,11111,25064,18205,16704,34909,27,18573,18600,16,10421,10437,178020,184610,362630,18067,16686,34753,13927,11072,24999,11072,16,11088,11072,10393,21465,27040,10765,37805,16,16779,16795,13866,11044,24910,1543,2853,4396,77970,49070,127040,7462,16720,24182,382913,480345,1033,1.022928589,469578.2339,454.5771867,0.5316, 33.7518
Bugisu,Bugisu,213,203,416,54466,37574,92040,95273,53392,148665,27710,22862,50572,37506,33062,70568,169,53258,53427,147,36842,36989,423112,397530,820642,36554,32258,68812,27053,22335,49388,22335,147,22482,22335,35748,58083,88940,50452,139392,147,31301,31448,26042,21830,47872,4385,8819,13204,215168,147093,362261,37463,33265,70728,1469892,1827757,2447,1.022029197,1788360.846,730.8381062,1.0783,34.1737
Busoga,Bugweri District,4,11,15,14603,8967,23570,21977,9416,31393,8913,7210,16123,12381,11268,23649,4,14573,14577,11,8963,8974,126646,125788,252434,12349,11246,23595,8907,7197,16104,7197,11,7208,7197,8790,15987,21398,9144,30542,11,11059,11070,8777,7087,15864,1174,2340,3514,57878,36872,94750,10413,11279,21692,164886,211511,302,1.025214919,206308.9368,683.1421748,0.6116,33.5952
Ankole,Buhweju District,1,0,1,469,417,886,929,638,1567,218,139,357,237,179,416,1,448,449,0,408,408,3260,2864,6124,233,175,408,209,136,345,136,0,136,136,407,543,907,623,1530,0,175,175,208,133,341,10,49,59,1854,1373,3227,183,179,362,12072,167921,751,1.301165617,129054.2863,171.8432574,0.3558,30.3897
North Central,Buikwe District,45,29,74,17694,14199,31893,25327,18444,43771,11219,9454,20673,12187,10953,23140,43,16559,16602,27,13368,13395,147620,144372,291992,11319,10135,21454,10636,8970,19606,8970,26,8996,8970,13160,22130,22209,16799,39008,26,9675,9701,10241,8677,18918,921,2402,3323,66472,53079,119551,10296,10982,21278,422771,520158,1270,1.020946558,509486.0215,401.1700957,0.2827, 33.0339
Teso,Bukedea District,32,34,66,22624,11285,33909,29580,11132,40712,10480,8098,18578,11996,10382,22378,28,21855,21883,33,10918,10951,147580,133412,280992,11739,10151,21890,10187,7938,18125,7938,33,7971,7938,10782,18720,28221,10271,38492,33,9762,9795,10008,7753,17761,2077,5647,7724,74712,40931,115643,14677,10416,25093,203600,282864,1032,1.033427444,273714.4264,265.2271574,1.3557,34.1087
Bukedi,Bukedi,350,273,623,154288,88704,242992,200296,71919,272215,93313,76026,169339,134934,123817,258751,326,148978,149304,268,85353,85621,1326030,1292888,2618918,131143,119092,250235,89995,73515,163510,73515,260,73775,73515,85409,158924,192070,68562,260632,260,117855,118115,90906,73658,164564,9733,21041,30774,583181,360739,943920,108382,124090,232472,1881415,2372489,4504,1.023462561,2318100.427,514.6759385,,
South Central,Bukomansimbi District,82,4,86,6322,5622,11944,6530,3537,10067,3931,3703,7634,3695,3644,7339,7,6241,6248,4,5570,5574,53590,54726,108316,3652,3611,7263,3871,3625,7496,3625,4,3629,3625,5350,8975,6324,3377,9701,4,3517,3521,3824,3564,7388,211,639,850,20560,16510,37070,2139,3648,5787,151413,197568,600,1.026964294,192380.5932,320.634322,0.1433,31.6055
Bugisu,Bukwo District,0,0,0,1529,1399,2928,2634,2268,4902,679,678,1357,639,611,1250,0,1433,1433,0,1338,1338,10756,10026,20782,605,575,1180,645,635,1280,635,0,635,635,1283,1918,2456,2126,4582,0,541,541,627,623,1250,26,63,89,5481,4956,10437,651,611,1262,89356,114396,525,1.025011439,111604.6082,212.5802061,1.2819,34.7299
Bugisu,Bulambuli District,7,6,13,6289,4027,10316,9434,4835,14269,2639,2109,4748,3774,3213,6987,7,6223,6230,6,4001,4007,43944,39606,83550,3746,3193,6939,2628,2104,4732,2104,6,2110,2104,3918,6022,9105,4751,13856,6,3165,3171,2582,2067,4649,490,996,1486,22143,14190,36333,4525,3219,7744,174513,235391,695,1.030377121,228451.3069,328.7069165,1.4815,34.2866
Bunyoro,Buliisa District,5,2,7,11935,7296,19231,13112,6268,19380,6658,5264,11922,10384,9400,19784,4,11032,11036,2,6805,6807,99098,91980,191078,9473,8497,17970,6155,4913,11068,4913,2,4915,4913,7124,12037,12876,6170,19046,2,9243,9245,6555,5186,11741,847,1836,2683,42094,28230,70324,6909,9402,16311,113161,167894,1367,1.040240696,161399.1845,118.0681672,1.8992,31.3542
Tooro,Bundibugyo District,10,13,23,16626,9503,26129,26143,12997,39140,8985,6872,15857,12080,11004,23084,8,16574,16582,13,9473,9486,130018,124306,254324,12269,11010,23279,8995,6839,15834,6839,13,6852,6839,9349,16188,25922,12931,38853,13,10865,10878,8842,6753,15595,560,1075,1635,63844,40389,104233,4497,11017,15514,224387,264778,850,1.016689692,260431.4787,306.389975,0.6852, 30.0203
Tooro,Bunyangabu District,11,3,14,4862,4506,9368,7114,5702,12816,2826,2353,5179,2473,2365,4838,14,4623,4637,2,4361,4363,38034,35358,73392,2218,2112,4330,2475,2192,4667,2192,2,2194,2192,4296,6488,5927,5275,11202,2,2073,2075,2423,2150,4573,175,406,581,17286,14929,32215,1186,2368,3554,170247,219012,466,1.025507508,213564.5017,458.2929222,0.4871,30.2051
Bunyoro,Bunyoro,222,192,414,101889,70228,172117,117091,60230,177321,52682,44366,97048,75758,69103,144861,187,108292,108479,172,67413,67585,835946,769918,1605864,70901,66348,137249,51719,42737,94456,42737,175,42912,42737,67605,110342,111397,57343,168740,175,66815,66990,50636,42549,93185,7110,16982,24092,347642,244119,591761,58870,69295,128165,2028545,2792732,16580,1.032486689,2704860.052,163.1399307,,
Ankole,Bushenyi District,0,0,0,2940,2802,5742,4585,3575,8160,1111,1030,2141,1030,976,2006,0,2900,2900,0,2766,2766,19626,17544,37170,1012,964,1976,1095,1011,2106,1011,0,1011,1011,2668,3679,4388,3419,7807,0,941,941,1069,980,2049,36,264,300,9666,8383,18049,487,976,1463,234443,283392,845,1.019142779,278068.9869,329.0757241,0.4875,30.1127
Bukedi,Busia District,88,79,167,31125,20878,52003,48708,20927,69635,18649,15811,34460,27197,24543,51740,81,29937,30018,80,20113,20193,272822,267500,540322,26224,23730,49954,17969,15310,33279,15310,81,15391,15310,19816,35126,46082,19527,65609,81,23386,23467,18726,15087,33813,1793,3836,5629,125767,82238,208005,14011,24622,38633,323662,412671,729,1.024592621,402765.9302,552.490988,0.4045,34.0196
Busoga,Busoga,561,383,944,256302,151731,408033,430879,196457,627336,156983,124065,281048,228042,201641,429683,474,251694,252168,327,148681,149008,2223814,2174356,4398170,223857,198256,422113,154238,121657,275895,121657,306,121963,121657,145550,267207,406112,183608,589720,306,193615,193921,150530,118598,269128,26604,57301,83905,1072767,674277,1747044,195872,202024,397896,3583196,4363295,9443,1.019892507,4278191.054,453.0542257,,
Bukedi,Butaleja District,104,65,169,18554,11308,29862,26241,9293,35534,12976,10953,23929,17284,15227,32511,94,17902,17996,61,11062,11123,171118,173564,344682,16866,14787,31653,12618,10663,23281,10663,59,10722,10663,10463,21126,24067,8713,32780,59,13899,13958,11885,10109,21994,1022,2061,3083,75159,46846,122005,8449,15292,23741,244153,312771,655,1.025076887,305119.5515,465.8313763,,
South Central,Butambala District,8,9,17,8448,8590,17038,7575,5021,12596,4296,4439,8735,3006,3080,6086,6,8421,8427,9,8528,8537,63570,63160,126730,2971,3032,6003,4259,4394,8653,4394,9,4403,4394,8127,12521,7127,4749,11876,9,2885,2894,4040,4167,8207,132,525,657,23333,21139,44472,1344,3089,4433,10084,146516,405,1.306848434,112113.996,276.8246814,0.1742,32.1065
Bukedi,Butebo District,14,14,28,6967,3646,10613,8009,2987,10996,4012,2929,6941,5005,4520,9525,13,6908,6921,13,3620,3633,54040,51376,105416,4983,4505,9488,3991,2912,6903,2912,13,2925,2912,3460,6372,7426,2780,10206,13,4271,4284,3816,2800,6616,280,590,870,24007,14096,38103,6600,4534,11134,111762,171433,236,1.043710436,164253.4117,695.9890328,1.2393,33.83
North Central,Buvuma District,6,2,8,3597,2621,6218,6716,3629,10345,2487,2205,4692,3661,3449,7110,6,3590,3596,2,2614,2616,36028,37438,73466,3625,3397,7022,2478,2201,4679,2201,2,2203,2201,2614,4815,6639,3600,10239,2,3399,3401,2478,2202,4680,193,507,700,16467,11906,28373,3258,3451,6709,8989,110832,296,1.285568963,86212.41113,291.2581457,0.3765,33.2588
Busoga,Buyende District,32,29,61,12856,7062,19918,21736,8763,30499,9006,7503,16509,15822,14080,29902,32,12852,12884,29,7056,7085,132760,136192,268952,15817,14073,29890,9000,7477,16477,7477,29,7506,7477,6746,14223,21041,8504,29545,29,13667,13696,8667,7075,15742,4193,8233,12426,59452,37437,96889,17753,14109,31862,323067,403486,1379,1.022477093,394616.1755,286.1611135,1.2414,33.1239
Lango,Dokolo District,17,5,22,29890,15030,44920,28586,7923,36509,11598,8353,19951,14074,12538,26612,16,29430,29446,5,14824,14829,181676,153796,335472,13862,12237,26099,11416,8225,19641,8225,5,8230,8225,14703,22928,28043,7778,35821,5,12209,12214,11338,8146,19484,1757,3430,5187,84165,43849,128014,8980,12543,21523,183093,215625,1004,1.016489126,212127.2077,211.2820794,1.9131,33.1717
Tooro,Fort Portal City,14,7,21,2271,2097,4368,4212,3243,7455,1405,1244,2649,1453,1417,2870,14,2226,2240,7,2068,2075,19668,20018,39686,1447,1413,2860,1365,1238,2603,1238,12,1250,1238,2058,3296,4063,3165,7228,12,1399,1411,1352,1191,2543,50,231,281,9355,8008,17363,604,1424,2028,10224,137549,127,1.296831825,106065.4106,835.1607137,0.6546,30.2801
South Central,Gomba District,4,0,4,6114,4985,11099,7520,5366,12886,3289,2942,6231,2541,2501,5042,4,5880,5884,0,4772,4772,43858,41192,85050,2458,2409,4867,3090,2771,5861,2771,0,2771,2771,4326,7097,6452,4543,10995,0,2226,2226,2838,2536,5374,156,827,983,19468,15794,35262,1861,2501,4362,159922,19912,1670,0.811933886,24524.16427,14.68512831,0.223,31.6739
Acholi,Gulu City,84,97,181,12750,8826,21576,20433,10878,31311,7030,6728,13758,9583,9345,18928,74,11955,12029,84,8167,8251,105932,100972,206904,8937,8743,17680,6422,6077,12499,6077,78,6155,6077,8075,14152,18125,9378,27503,78,8669,8747,6354,6013,12367,509,1515,2024,49880,35874,85754,8017,9442,17459,185042,233271,222,1.023432122,227930.1138,1026.712224,2.7743,32.2882
Acholi,Gulu District,50,45,95,21110,11053,32163,18658,7691,26349,9492,6989,16481,11116,10004,21120,49,20517,20566,44,10736,10780,137894,121898,259792,10905,9715,20620,9274,6844,16118,6844,46,6890,6844,10477,17321,17640,6950,24590,46,9880,9926,9070,6706,15776,873,1636,2509,60426,35782,96208,9723,10049,19772,108428,135373,1721,1.022442893,132401.5267,76.93290335,2.955,32.4467
