Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Lango,Apac District,28,22,50,21225,11165,48619,26121,11833,37954,20738,5037,25775,7868,6979,14847,28,22,50,21043,11009,32052,25685,11589,37274,7727,6861,14588,6735,4995,11730,28,27,55,20765,10925,31690,25416,11530,36946,7633,6839,14472,6631,32640,39271,1198,2844,4042,75980,35036,133566,7896,7001,14897,185322,221962,1783,1.018204859,221962,124.4879417,1.8445,32.4014
West Nile,Arua City,32,25,57,10234,6000,25945,14202,6790,20992,14854,4079,18933,5191,4901,10092,22,12,34,10005,5910,15915,13548,6528,20076,4969,4707,9676,4895,3950,8845,33,18,51,9816,5779,15595,13380,6420,19800,5075,4641,9716,4845,23326,28171,1026,2132,3158,44513,21795,88438,5223,4926,10149,309052,384656,404,1.022125199,384656,952.1188119,3.0274,30.9071
West Nile,Arua District,12,0,12,4623,2498,14536,4522,1705,6227,4599,1357,5956,1536,1461,2997,11,0,11,4376,2394,6770,4023,1584,5607,1431,1358,2789,1576,1266,2842,3,1,4,4444,2412,6856,4067,1591,5658,1458,1379,2837,1605,7330,8935,412,680,1092,15292,7021,38908,1548,1461,3009,133534,159722,800,1.018069175,159722,199.6525,3.0018,30.9876
Bukedi,Budaka District,9,10,19,17126,8449,5682,18579,5935,24514,32349,6841,39190,13048,11730,24778,9,10,19,17119,8442,25561,18570,5931,24501,13048,11720,24768,8879,6829,15708,5,3,8,16897,8349,25246,18336,5842,24178,12916,13963,26879,8785,51197,59982,1494,3356,4850,81111,32965,22674,13057,11740,24797,207597,281537,410,1.030935371,281537,686.6756098,1.1005,34.0196
Bugisu,Bududa District,1,1,2,2346,1601,3584,4436,2596,7032,2840,718,3558,1017,981,1998,1,1,2,2345,1600,3945,4436,2596,7032,1017,981,1998,878,718,1596,1,3,4,2345,1600,3945,4435,2596,7031,1017,981,1998,873,4462,5335,232,513,745,10640,5897,14969,1018,982,2000,210173,26897,318,0.814165494,26897,84.58176101,1.003,34.3338
Busoga,Bugiri District,20,14,34,8597,4784,12076,14229,5650,19879,19015,4386,23401,7442,6799,14241,19,14,32,8528,4728,13256,14060,5588,19648,7418,6722,14140,5399,4346,9745,37,29,66,8441,4670,13111,14042,5521,19563,7265,6608,13873,5390,28939,34329,920,1524,2444,49303,21633,53498,7462,6813,14275,382913,480345,1033,1.022928589,480345,465,0.5316, 33.7518
Bugisu,Bugisu,336,242,578,56260,37386,95541,106151,54517,160668,91595,22216,113811,37127,31741,68868,286,200,477,53015,35507,88522,98154,51350,149504,35154,30202,65356,26760,21217,47977,57,48,105,53344,35777,89121,97197,51141,148338,35194,31284,66478,26820,141392,168212,4149,8922,13071,291469,146102,360808,37463,31983,69446,1469892,1827757,2447,1.022029197,1827757,746.9378831,1.0783,34.1737
Busoga,Bugweri District,8,7,15,13580,8336,23098,21087,9032,30119,26370,6720,33090,10405,9106,19511,8,7,16,13500,8305,21805,20840,8896,29736,10364,9056,19420,8153,6711,14864,23,13,36,13388,8235,21623,20545,8736,29281,10290,8964,19254,8091,42079,50170,1315,2909,4224,71450,33201,89669,10413,9113,19526,164886,211511,302,1.025214919,211511,700.3675497,0.6116,33.5952
Ankole,Buhweju District,2,3,5,273,254,1320,444,417,861,379,108,487,181,123,304,2,3,5,263,240,503,439,407,846,176,121,297,124,100,224,1,0,1,263,240,503,439,407,846,176,120,296,124,644,768,7,29,36,1279,905,4037,183,126,309,12072,167921,751,1.301165617,167921,223.5965379,0.3558,30.3897
North Central,Buikwe District,31,18,49,14792,14914,33789,23646,15008,38654,26325,7441,33766,10265,8825,19090,17,13,31,13784,10912,24696,20954,14172,35126,9374,8176,17550,8177,6978,15155,30,14,44,13570,10691,24261,20508,13881,34389,9228,7995,17223,8025,40201,48226,926,2320,3246,75059,46206,131746,10296,8843,19139,422771,520158,1270,1.020946558,520158,409.5732283,0.2827, 33.0339
Teso,Bukedea District,31,23,54,29123,15675,22463,33362,13329,46691,39096,10375,49471,14646,12684,27330,27,22,49,27817,15112,42929,32083,12903,44986,14313,12347,26660,13398,9831,23229,18,22,40,27545,14828,42373,38674,12763,51437,13863,11850,25713,13160,61718,74878,2306,5476,7782,116258,52086,73743,14677,12707,27384,203600,282864,1032,1.033427444,282864,274.0930233,1.3557,34.1087
Bukedi,Bukedi,201,180,381,125953,69783,113433,160535,53091,213626,265002,55887,320889,108181,97792,205973,179,169,357,123939,68783,192722,157112,51455,208567,106524,96373,202897,68250,54919,123169,106,235,341,122718,68103,190821,155106,50642,205748,105452,98307,203759,67728,393636,461364,9786,20958,30744,659872,276733,413392,108382,97972,206354,1881415,2372489,4504,1.023462561,2372489,526.7515542,,
South Central,Bukomansimbi District,3,9,12,3629,3110,7659,4753,2612,7365,6630,2023,8653,2136,2244,4380,3,9,12,3617,3101,6718,4738,2570,7308,2119,2222,4341,2139,2047,4186,4,4,8,3589,3085,6674,4647,2534,7181,2105,2207,4312,2121,10579,12700,165,544,709,17151,9998,24017,2139,2253,4392,151413,197568,600,1.026964294,197568,329.28,0.1433,31.6055
Bugisu,Bukwo District,1,1,2,1482,1353,2194,2662,2223,4885,1824,642,2466,650,552,1202,1,1,2,1267,1215,2482,2182,2038,4220,517,451,968,617,580,1197,0,0,0,1240,1189,2429,2128,1987,4115,501,445,946,609,2726,3335,15,54,69,6619,4771,9382,651,553,1204,89356,114396,525,1.025011439,114396,217.8971429,1.2819,34.7299
Bugisu,Bulambuli District,47,15,62,8126,5174,9849,12650,5732,18382,11327,2814,14141,4478,3914,8392,44,14,50,6762,4416,11178,10205,4877,15082,3786,3344,7130,2968,2387,5355,3,2,5,7535,4902,12437,11091,5224,16315,4111,3631,7742,3297,16964,20261,424,937,1361,36628,17649,35794,4525,3929,8454,174513,235391,695,1.030377121,235391,338.6920863,1.4815,34.2866
Bunyoro,Buliisa District,13,3,16,10031,6203,19195,11373,6245,17618,17065,3765,20830,6896,6122,13018,11,3,15,9364,5852,15216,10617,5769,16386,6459,5783,12242,4591,3579,8170,4,1,5,9873,6085,15958,11991,6104,18095,6807,6016,12823,4762,26055,30817,787,1762,2549,45378,22338,65687,6909,6125,13034,113161,167894,1367,1.040240696,167894,122.8193124,1.8992,31.3542
Tooro,Bundibugyo District,10,7,17,9249,5054,20641,17772,12235,30007,11574,2853,14427,4487,3924,8411,10,7,16,9269,5069,14338,17667,10130,27797,4470,3922,8392,3627,2851,6478,16,24,40,9257,5061,14318,17637,10119,27756,4485,3924,8409,3631,18525,22156,352,652,1004,43092,24073,81358,4497,3931,8428,224387,264778,850,1.016689692,264778,311.5035294,0.6852, 30.0203
Tooro,Bunyangabu District,4,4,8,1844,1575,6598,3861,3896,7757,3320,889,4209,1182,1101,2283,4,3,7,1508,1280,2788,3248,3457,6705,926,859,1785,941,716,1657,10,0,10,1510,1283,2793,3223,3446,6669,925,857,1782,929,4352,5281,134,307,441,10211,7465,29087,1186,1105,2291,170247,219012,466,1.025507508,219012,469.9828326,0.4871,30.2051
Bunyoro,Bunyoro,298,210,508,91642,61834,185786,110626,56537,167163,154423,36700,191123,58572,54788,113360,316,182,458,92723,60075,152798,105800,53631,159431,56448,52784,109232,43056,35673,78729,122,83,205,88665,59896,148561,107173,53679,160852,56426,52742,109168,43215,231035,274250,7169,16609,23778,415561,210069,725533,58870,54998,113868,2028545,2792732,16580,1.032486689,2792732,168.439807,,
Ankole,Bushenyi District,6,0,6,1207,1181,8249,2864,2519,5383,1343,423,1766,481,464,945,1,0,1,1153,1112,2265,2603,2030,4633,448,423,871,395,403,798,0,2,2,1142,1089,2231,2560,2005,4565,443,422,865,393,2044,2437,26,89,115,5901,4587,22571,487,464,951,234443,283392,845,1.019142779,283392,335.3751479,0.4875,30.1127
Bukedi,Busia District,81,78,159,18417,12019,58545,31233,12824,44057,35511,8344,43855,13930,12746,26676,62,72,145,17473,11457,28930,29642,12217,41859,13044,12006,25050,9465,7873,17338,47,171,218,17250,11293,28543,29332,11927,41259,12868,12241,25109,9440,51785,61225,1236,2458,3694,99172,46011,212543,14011,12824,26835,323662,412671,729,1.024592621,412671,566.0781893,0.4045,34.0196
Busoga,Busoga,474,344,818,248135,143644,396074,416016,181451,597467,490482,112979,603461,195398,172849,368247,438,324,721,244967,141970,386937,405852,176920,582772,193121,170809,363930,143149,111471,254620,729,491,1220,241828,139399,381227,398436,174397,572833,191462,168934,360396,142116,754684,896800,25837,59856,85693,1350505,611267,1605206,195872,173193,369065,3583196,4363295,9443,1.019892507,4363295,462.0666102,,
Bukedi,Butaleja District,30,11,41,11239,7040,8935,16543,6715,23258,22309,5588,27897,8419,7728,16147,29,9,38,10876,6907,17783,15952,6391,22343,8216,7544,15760,6704,5471,12175,9,5,14,10426,6686,17112,15099,6071,21170,7848,7184,15032,6554,33431,39985,767,1499,2266,58540,27082,34118,8449,7739,16188,244153,312771,655,1.025076887,312771,477.5129771,,
South Central,Butambala District,0,2,2,3772,3510,14073,4523,2912,7435,3911,1562,5473,1344,1173,2517,0,2,2,3805,3561,7366,4530,2932,7462,1357,1158,2515,1580,1588,3168,2,1,3,3732,3491,7223,4438,2887,7325,1348,1140,2488,1561,7181,8742,105,389,494,13550,9159,38446,1344,1175,2519,10084,146516,405,1.306848434,146516,361.7679012,0.1742,32.1065
Bukedi,Butebo District,32,19,51,10603,5101,8123,11914,3531,15445,16112,3622,19734,6568,5458,12026,30,17,47,10318,5005,15323,11614,3466,15080,6489,5391,11880,5123,3583,8706,26,28,54,10314,4996,15310,11600,3456,15056,6453,5386,11839,5110,25641,30751,477,1032,1509,45229,17731,29544,6600,5477,12077,111762,171433,236,1.043710436,171433,726.4110169,1.2393,33.83
North Central,Buvuma District,5,4,9,3499,2412,4795,6855,3980,10835,8020,1836,9856,3253,2876,6129,5,4,9,3461,2392,5853,6830,3960,10790,3244,2869,6113,2246,1828,4074,4,2,6,3499,2412,5911,6855,3979,10834,3253,2876,6129,2268,12501,14769,230,548,778,21632,11108,20743,3258,2880,6138,8989,110832,296,1.285568963,110832,374.4324324,0.3765,33.2588
Busoga,Buyende District,21,18,39,17497,9113,19719,29478,10377,39855,42667,8054,50721,17732,15785,33517,21,18,38,17497,9113,26610,29454,10377,39831,17730,15775,33505,11097,8051,19148,26,19,45,17300,8954,26254,28920,10251,39171,17592,15599,33191,10986,63120,74106,4982,10330,15312,107395,43347,87390,17753,15803,33556,323067,403486,1379,1.022477093,403486,292.5931835,1.2414,33.1239
Lango,Dokolo District,19,18,37,24408,12860,26575,22867,8060,30927,24586,6138,30724,8961,7877,16838,19,18,37,24408,12860,37268,22857,8060,30917,8961,7877,16838,8832,6138,14970,11,3,14,24106,12661,36767,22460,7919,30379,8835,7746,16581,8727,40097,48824,1367,2567,3934,80841,34953,82319,8980,7895,16875,183093,215625,1004,1.016489126,215625,214.7659363,1.9131,33.1717
Tooro,Fort Portal City,6,4,10,764,642,1639,2318,1737,4055,1572,403,1975,598,530,1128,1,1,2,720,618,1338,2082,1581,3663,561,479,1040,472,377,849,8,9,17,709,610,1319,2055,1562,3617,553,471,1024,464,2321,2785,18,108,126,5258,3316,7673,604,534,1138,10224,137549,127,1.296831825,137549,1083.062992,0.6546,30.2801
South Central,Gomba District,15,12,27,5032,3912,10850,7371,5425,12796,5764,1876,7640,1846,1796,3642,15,12,27,4809,3702,8511,7054,5125,12179,1782,1748,3530,2084,1783,3867,0,1,1,4865,3748,8613,7130,5256,12386,1786,1748,3534,2081,9497,11578,194,875,1069,20028,13021,32746,1861,1808,3669,159922,19912,1670,0.811933886,19912,11.92335329,0.223,31.6739
Acholi,Gulu City,32,23,55,11653,7952,28796,18319,9290,27609,21755,5231,26986,7985,7933,15918,32,22,53,11484,7860,19344,18015,9154,27169,7683,7696,15379,5736,5259,10995,50,50,100,10970,7640,18610,17036,8877,25913,7278,7267,14545,5593,30884,36477,336,1369,1705,59744,30429,102462,8017,7956,15973,185042,233271,222,1.023432122,233271,1050.77027,2.7743,32.2882
Acholi,Gulu District,42,41,83,19405,10275,45521,18671,7370,26041,26473,6521,32994,9681,8834,18515,34,37,73,17916,9437,27353,17232,6948,24180,9011,8223,17234,8151,6029,14180,9,5,14,19033,10055,29088,18233,7276,25509,9491,8600,18091,8640,41769,50409,830,1792,2622,74272,33041,120518,9723,8875,18598,108428,135373,1721,1.022442893,135373,78.65950029,2.955,32.4467
Bunyoro,Hoima City,25,19,44,2300,1712,4787,5185,3195,8380,4658,925,5583,1620,1802,3422,25,17,42,2068,1589,3657,4460,2662,7122,1423,1595,3018,946,829,1775,1,0,1,2189,1644,3833,4848,2869,7717,1552,1728,3280,1014,6194,7208,68,254,322,13788,7653,20222,1645,1821,3466,100099,143304,227,1.036532342,143304,631.2951542,1.4274,31.3484
Bunyoro,Hoima District,14,11,25,6145,4270,11461,7315,3428,10743,10140,2394,12534,3803,3576,7379,14,11,31,6124,4245,10369,7273,3415,10688,3793,3549,7342,2977,2387,5364,2,1,3,6127,4240,10367,7267,3410,10677,3780,3560,7340,2993,15703,18696,967,2049,3016,27417,13679,36522,3817,3587,7404,205432,257544,1341,1.022865037,257544,192.0536913,1.6343,31.171
Ankole,Ibanda District,14,7,21,13549,10956,36626,23406,14470,37876,13525,4754,18279,4523,3972,8495,12,7,19,13523,10936,24459,23352,14293,37645,4490,3944,8434,5561,4738,10299,11,9,20,13348,10761,24109,23034,14045,37079,4404,3857,8261,5558,24029,29587,353,1188,1541,55017,34159,118761,4537,3979,8516,249625,309466,622,1.021721392,309466,497.5337621,0.0966,30.4818
Busoga,Iganga District,33,16,49,36249,22824,50376,55861,25124,80985,69517,16707,86224,26723,24797,51520,30,16,45,35075,21929,57004,53573,24060,77633,25813,24009,49822,19309,16023,35332,20,13,33,34141,21096,55237,51406,23293,74699,25387,23397,48784,18880,102196,121076,2277,6154,8431,188383,89468,192345,26756,24813,51569,339311,426958,633,1.023242857,426958,674.4992101,0.7236,33.4832
Ankole,Isingiro District,19,12,31,13016,10783,61742,16064,9330,25394,16145,5095,21240,5880,5167,11047,19,12,31,12989,10785,23774,16029,9302,25331,5869,5163,11032,5802,5095,10897,59,39,98,12959,10762,23721,15968,9269,25237,5860,5155,11015,5785,27666,33451,213,693,906,51124,30387,199895,5899,5179,11078,486360,635077,2536,1.027038806,635077,250.4246845,0.8435,30.8039
Busoga,Jinja City,57,47,104,11271,7513,21749,23748,11642,35390,20193,5269,25462,7478,7096,14574,41,37,65,10450,6946,17396,19515,9434,28949,6931,6505,13436,5542,4791,10333,164,168,332,10165,6743,16908,18916,9104,28020,6686,6349,13035,5422,28521,33943,486,1623,2109,62747,31567,91344,7535,7143,14678,247074,279184,179,1.012293266,279184,1559.687151,0.5349,33.2139
Busoga,Jinja District,40,24,64,15929,9456,33515,28175,12896,41071,32498,7806,40304,12703,11088,23791,34,19,53,15425,9197,24622,26154,12205,38359,12412,10873,23285,10094,7675,17769,72,56,128,15168,9011,24179,25764,12015,37779,12237,10822,23059,9910,50392,60302,847,2225,3072,89345,41270,133877,12743,11112,23855,224168,280905,499,1.022818525,280905,562.9358717,0.5349,33.2139
Karamoja,Kaabong District,3,0,3,4358,3429,19512,9575,5013,14588,14027,2094,16121,6031,5776,11807,3,0,3,4331,3416,7747,9456,4989,14445,5980,5728,11708,2453,2081,4534,14,12,26,4290,3404,7694,9361,4947,14308,5926,5699,11625,2431,18553,20984,131,836,967,33994,16312,78245,6034,5776,11810,116646,264631,4751,1.085368184,264631,55.70006314,3.5696,34.242
Kigezi,Kabale District,1,1,2,338,365,958,1170,1547,2717,427,143,570,175,145,320,1,1,2,335,361,696,1145,1516,2661,175,145,320,134,141,275,1,1,2,330,359,689,1131,1489,2620,172,145,317,134,726,860,4,31,35,2111,2201,5537,176,146,322,230609,285588,561,1.021612905,285588,509.0695187,1.3505,30.0203
Tooro,Kabarole District,5,2,7,1374,1106,5163,3136,2112,5248,1938,509,2447,723,655,1378,3,1,6,1249,1032,2281,2802,1815,4617,627,595,1222,558,460,1018,2,1,3,1219,992,2211,2712,1755,4467,617,578,1195,534,2712,3246,58,171,229,7176,4384,18891,728,657,1385,196749,230368,1184,1.015900003,230368,194.5675676,0.6833, 30.2974
Teso,Kaberamaido District,38,37,75,19648,11381,12539,19899,7204,27103,21882,5933,27815,7799,7055,14854,37,37,74,19776,11307,31083,19766,7133,26899,7755,7008,14763,7704,5884,13588,17,13,30,20046,11297,31343,19753,7124,26877,7749,7204,14953,7700,36230,43930,750,1440,2190,69266,31610,34316,7837,7092,14929,105152,140986,689,1.02975959,140986,204.6240929,1.6325, 33.1239
Bunyoro,Kagadi District,59,46,105,8744,5456,19094,14411,7501,21912,10826,3012,13838,4086,3484,7570,45,39,96,8216,5234,13450,13362,6991,20353,3760,3137,6897,3694,2878,6572,6,6,12,8388,5261,13649,13645,7247,20892,3723,3243,6966,3709,17167,20876,942,2275,3217,38126,19499,65193,4145,3530,7675,351033,471111,1420,1.029858434,471111,331.7683099,0.95,30.8
Bunyoro,Kakumiro District,84,57,141,10593,7345,17619,13024,6025,19049,14446,4035,18481,5596,4692,10288,81,51,131,10461,7257,17718,13194,5909,19103,5521,4613,10134,5020,3987,9007,10,9,19,10158,6979,17137,13161,5747,18908,5352,4518,9870,4900,23550,28450,786,2257,3043,43743,22154,53402,5680,4749,10429,293108,428176,1701,1.038626657,428176,251.7201646,1.0028,31.3084
Teso,Kalaki District,16,17,33,15992,8861,8365,16786,5037,21823,19142,5225,24367,6789,6294,13083,16,17,33,15981,8861,24842,16778,5036,21814,6789,6292,13081,6554,5225,11779,5,5,10,15981,8831,24812,16781,5036,21817,6786,6292,13078,6585,31488,38073,659,1301,1960,58725,25434,24864,6805,6311,13116,109874,149736,658,1.031438004,149736,227.56231,,
South Central,Kalangala District,2,0,2,491,461,3439,1716,1774,3490,1335,331,1666,527,512,1039,1,6,10,385,384,769,1457,1606,3063,414,390,804,249,322,571,8,9,17,386,383,769,1454,1607,3061,412,399,811,248,1579,1827,31,149,180,4071,3078,16240,529,512,1041,54293,74411,452,1.03202289,74411,164.6261062,0.6351,32.5373
Busoga,Kaliro District,77,55,132,19445,10346,20429,33943,14805,48748,49206,8887,58093,21328,18391,39719,77,55,129,19425,10328,29753,33891,14792,48683,21321,18391,39712,12422,8887,21309,110,65,175,19288,10248,29536,33442,14658,48100,21266,18344,39610,12388,73236,85624,3149,7978,11127,123999,52484,94806,21405,18446,39851,286397,236199,779,0.980914059,236199,303.2079589,0.8927,33.5028
South Central,Kalungu District,7,7,14,4620,3715,12976,5357,2782,8139,6570,2015,8585,2103,2208,4311,7,7,14,4586,3701,8287,5325,2735,8060,2094,2197,4291,2146,2002,4148,15,8,23,4495,3639,8134,5169,2680,7849,2054,2148,4202,2112,10408,12520,184,517,701,18657,10727,36880,2110,2215,4325,174368,221569,790,1.024245869,221569,280.4670886,0.0953,31.7651
Kampala,Kampala,1513,1353,2866,29034,24692,43857,74892,60502,135394,68678,19606,88284,23855,23459,47314,348,372,751,17801,14914,32715,39761,33934,73695,13774,13123,26897,11922,11079,23001,234,227,461,16999,14166,31165,38312,32969,71281,13208,12562,25770,11190,58570,69760,600,3310,3910,197972,129612,208345,25368,24812,50180,1507080,1797722,195,1.017791039,1797722,9219.087179,0.3152,32.5816
Kampala,Kampala District,1513,1353,2866,29034,24692,43857,74892,60502,135394,68678,19606,88284,23855,23459,47314,348,372,751,17801,14914,32715,39761,33934,73695,13774,13123,26897,11922,11079,23001,234,227,461,16999,14166,31165,38312,32969,71281,13208,12562,25770,11190,58570,69760,600,3310,3910,197972,129612,208345,25368,24812,50180,1507080,1797722,195,1.017791039,1797722,9219.087179,0.3152,32.5816
