Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Karamoja,Abim District,8,9,17,15577,8665,25223,15624,5949,21573,23117,5093,28210,9222,8323,17545,8,9,17,15494,8621,24115,15451,5895,21346,9196,8291,17487,6442,5081,11523,6,7,13,15569,8656,24225,15571,5935,21506,9186,8298,17484,6438,35439,41877,629,1458,2087,63548,28039,81614,9230,8332,17562,107966,144084,2301,1.029278437,144084,62.61799218,2.7067,33.6595
Acholi,Acholi,266,222,488,263063,157299,580185,250568,86817,337385,366389,89294,455683,134573,126589,261162,253,214,466,258313,154331,412644,245593,85030,330623,131962,124347,256309,111178,87773,198951,243,404,647,258352,154548,412900,245969,84722,330691,131911,124059,255970,111351,566483,677834,9393,19402,28795,1014859,460221,1659514,134839,126811,261650,1500762,2044355,28522,1.031393639,2044355,71.67642522,,
West Nile,Adjumani District,43,32,75,24233,18864,120987,25366,11574,36940,34197,8514,42711,11912,12171,24083,42,61,74,23620,18439,42059,24808,11445,36253,11672,11926,23598,9657,8341,17998,10,7,17,23462,18413,41875,24642,11265,35907,11604,11844,23448,9639,51048,60687,743,2049,2792,95751,51155,326452,11955,12203,24158,107966,144084,2301,1.029278437,144084,62.61799218,3.2549,31.7195
Acholi,Agago District,35,15,50,50050,28714,105379,48751,14387,63138,65291,15111,80402,24231,22480,46711,35,15,50,49904,28664,78568,48607,14347,62954,24146,22410,46556,20288,15063,35351,44,203,247,49448,28346,77794,48240,14258,62498,23988,22298,46286,20149,101517,121666,1333,3029,4362,188358,80707,272657,24266,22495,46761,227792,307235,3493,1.03037004,307235,87.95734326,2.9251, 33.3486
Lango,Alebtong District,16,11,27,20209,9620,10961,25206,6647,31853,31614,7169,38783,12045,11156,23201,16,11,26,20201,9620,29821,25206,6649,31855,12042,11056,23098,9302,7169,16471,2,3,5,19860,9447,29307,24771,6519,31290,11870,10942,22812,9170,48221,57391,1541,3294,4835,89090,34603,35880,12061,11167,23228,227541,283509,1534,1.022234935,283509,184.8168188,2.2914,33.2139
Lango,Amolatar District,6,5,11,14051,7775,13229,14608,6702,21310,13206,3810,17016,4546,4217,8763,6,5,11,14028,7770,21798,14549,6702,21251,4543,4217,8760,4772,3810,8582,0,0,0,13868,7770,21638,14429,6693,21122,4546,4211,8757,4771,22109,26880,843,1697,2540,46417,22509,39413,4552,4222,8774,147166,188715,1163,1.025179454,188715,162.2656922,1.6054,32.8084
Karamoja,Amudat District,17,28,45,3153,2695,5889,6268,2814,9082,8297,2335,10632,3067,2954,6021,17,28,45,3153,2695,5848,6268,2814,9082,3067,2954,6021,2389,2335,4724,117,5,122,3095,2628,5723,6197,2767,8964,3033,2918,5951,2352,12942,15294,154,477,631,20802,10826,22964,3084,2982,6066,105769,203358,1616,1.067555067,203358,125.8403465,1.7916,34.9066
Teso,Amuria District,25,16,41,26747,14722,42734,28263,8555,36818,29784,8139,37923,10375,9319,19694,25,16,41,26690,14695,41385,28139,8518,36657,10317,9307,19624,11123,8135,19258,16,11,27,26295,14451,40746,27669,8333,36002,10158,9159,19317,10950,49217,60167,1145,2837,3982,95194,40751,119855,10400,9335,19735,183348,251653,1383,1.032173235,251653,181.9616775,2.0302,33.6428
Acholi,Amuru District,26,31,57,21617,11325,58354,21993,8407,30400,29923,6949,36872,11214,10510,21724,25,30,55,21490,11296,32786,21519,8349,29868,11086,10394,21480,8859,6935,15794,31,29,60,21231,11177,32408,21128,8255,29383,10967,10304,21271,8757,45640,54397,937,1718,2655,84773,37222,285589,11240,10541,21781,186696,247574,3619,1.028624826,247574,68.40950539,3.1042,32.0837
Ankole,Ankole,124,78,202,66649,56407,167222,98512,63162,161674,73908,25295,99203,24870,22447,47317,109,69,178,65422,55679,121101,94644,60777,155421,24328,21898,46226,28466,24867,53333,103,80,183,64805,55069,119874,93786,60006,153792,23961,21608,45569,28295,126823,155118,1368,4981,6349,264063,167389,536064,24994,22525,47519,2895631,3608968,15067,1.022266152,3608968,239.527975,,
