Region,District , 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE ,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE ,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL, 20+  (B/S &RDT) FEMALE , 20+  (B/S &RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
South Central,Lwengo District,56,45,101,7796,6201,13997,11414,5963,17377,3749,3431,7180,4449,4176,8625,29,25,54,25,5581,5606,8000,4418,12418,3412,3167,6579,3470,3147,6617,29,19,48,6546,5479,12025,50538,128006,178544,3313,3112,6425,3351,3077,6428,174,580,754,27464,19816,47280,6232,4221,10453,262604,325263,988,1.021629283,305038.5061,308.7434273,0.4165,31.3999
South Central,Lyantonde District,3,2,5,2994,2342,5336,5376,2935,8311,1401,1239,2640,1044,1044,2088,2,1,3,1,2336,2337,4241,2926,7167,1036,1039,2075,1398,1233,2631,1,0,1,2913,2300,5213,19840,48742,68582,1024,1034,2058,1383,1225,2608,72,218,290,10818,7562,18380,2070,1046,3116,93753,133017,887,1.035600371,119765.1758,135.0227461,0.2241,31.2168
West Nile,Madi-Okollo District,7,6,13,23269,14584,37853,24377,8173,32550,13141,9941,23082,14773,14247,29020,7,6,13,6,14503,14509,23787,7558,31345,14533,14034,28567,12948,9880,22828,7,6,13,23147,14534,37681,178178,372250,550428,14661,14051,28712,13044,9879,22923,1016,1750,2766,75567,46951,122518,18412,14253,32665,140188,178051,2048,1.024196666,165727.4103,80.92158706,2.8218,31.2168
Bugisu,Manafwa District,2,5,7,7828,4888,12716,11103,6863,17966,4271,3555,7826,8716,7557,16273,2,5,7,5,4550,4555,9770,6255,16025,8286,7120,15406,4074,3337,7411,1,5,6,7145,4550,11695,69036,167086,236122,8295,7030,15325,4056,3324,7380,677,1354,2031,31920,22868,54788,8038,7562,15600,149544,186917,237,1.022558071,174817.4815,737.6265042,,
West Nile,Maracha District,141,145,286,29893,14789,44682,31336,8763,40099,18253,12694,30947,17323,15948,33271,141,144,285,144,14017,14161,29445,8309,37754,16241,15010,31251,17309,12028,29337,141,144,285,29077,14408,43485,208716,451061,659777,16946,15625,32571,17806,12370,30176,1576,4039,5615,96946,52339,149285,15767,16093,31860,186134,234712,440,1.023460199,218938.6415,497.5878216,3.2873,30.9403
South Central,Masaka City,4,2,6,3215,2706,5921,8476,6190,14666,1802,1625,3427,2094,1986,4080,4,2,6,2,2394,2396,5849,4206,10055,1656,1641,3297,1466,1390,2856,4,2,6,2628,2370,4998,22314,71487,93801,1632,1621,3253,1455,1380,2835,130,422,552,15591,12509,28100,2007,1988,3995,211591,294166,340,1.033497733,266479.5522,783.7633889,0.3427,31.7369
South Central,Masaka District,7,4,11,2127,1811,3938,3356,2209,5565,965,884,1849,935,837,1772,7,4,11,4,1811,1815,3356,2186,5542,935,837,1772,965,882,1847,7,4,11,2099,1794,3893,15046,35275,50321,913,826,1739,959,878,1837,69,172,241,7390,5745,13135,1371,841,2212,106626,115455,855,1.007987074,112732.1675,131.8504883,0.4464,31.9018
Bunyoro,Masindi District,9,4,13,5380,3951,9331,10702,8003,18705,3159,2639,5798,4613,4238,8851,7,2,9,2,3637,3639,9718,6619,16337,4395,3913,8308,2970,2467,5437,7,2,9,5040,3597,8637,44782,124276,169058,4303,3856,8159,2889,2434,5323,189,567,756,23863,18835,42698,10404,4242,14646,291113,342635,3891,1.016428918,326287.688,83.85702596,1.6873,31.7138
Busoga,Mayuge District,23,8,31,22512,11128,33640,45476,19484,64960,13037,9642,22679,19383,17071,36454,22,8,30,8,11100,11108,45278,19356,64634,19315,17024,36339,13011,9615,22626,22,8,30,22352,11046,33398,184786,474696,659482,19220,16950,36170,12919,9547,22466,1974,4450,6424,100431,57333,157764,29048,17079,46127,473239,577563,1075,1.020121459,544056.1362,506.0987313,0.3125,33.528
Bugisu,Mbale City,30,26,56,8984,5621,14605,19555,10626,30181,5376,4412,9788,8045,7031,15076,30,26,56,26,5410,5436,19002,10091,29093,7892,6903,14795,5199,4261,9460,30,26,56,8459,5353,13812,76246,198003,274249,7785,6804,14589,5105,4213,9318,592,1161,1753,41990,27716,69706,7271,7057,14328,266617,290414,156,1.008586083,283060.0866,1814.487735,1.0871,34.1781
