Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),,,
Lango,Apac District,28,41,69,31026,17233,48259,33367,14279,47646,11887,9089,20976,13476,12223,25699,28,38,66,30924,17172,48096,189674,186942,376616,33069,13886,46955,13397,12119,25516,11858,9076,20934,28,38,66,30649,17027,47676,32685,13773,46458,13275,42289,55564,11762,8976,20738,1250,2458,3708,89784,52865,142649,13504,12264,25768,185322,221962,1783,1.018204859,214095.8747,120.0762057,1.8445,32.4014
West Nile,Arua City,82,58,140,14319,8357,22676,22166,11582,33748,7038,5689,12727,8422,8439,16861,70,49,119,13561,7549,21110,101634,114552,216186,20188,10228,30416,7696,7623,15319,6361,5068,11429,64,48,112,13806,8064,21870,21598,11366,32964,8425,30762,39187,6745,5371,12116,1220,3087,4307,52027,34125,86152,8504,8497,17001,309052,384656,404,1.022125199,368183.4989,911.3452943,3.0274,30.9071
West Nile,Arua District,9,4,13,9252,5124,14376,6966,2872,9838,3969,,7092,3646,3368,7014,9,4,13,9180,5069,14249,53613,47130,100743,6841,2815,9656,3601,3309,6910,3927,3059,6986,9,4,13,8971,5000,13971,6843,2819,9662,3599,10421,14020,3883,3042,6925,219,437,656,23842,14491,38333,3655,3372,7027,133534,159722,800,1.018069175,154102.67,192.6283375,3.0018,30.9876
Bukedi,Budaka District,39,19,58,27195,13972,41167,35869,10213,46082,20956,16406,37362,30450,27405,57855,41,19,60,27198,13954,41152,272858,283788,556646,35851,10208,46059,30315,28250,58565,20877,16338,37215,38,17,55,26234,13352,39586,34437,9899,44336,28867,69840,98707,19935,15661,35596,1910,4335,6245,114509,68015,182524,30489,27424,57913,207597,281537,410,1.030935371,264894.2904,646.0836351,1.1005,34.0196
Bugisu,Bududa District,6,2,8,5209,3919,9128,7068,4238,11306,2448,2016,4464,2652,2482,5134,6,2,8,5209,3919,9128,37468,41802,79270,7066,4235,11301,2653,2481,5134,2442,2016,4458,6,2,8,5056,3805,8861,6881,4100,10981,2595,9670,12265,2368,1950,4318,334,717,1051,17383,12657,30040,2658,2484,5142,210173,26897,318,0.814165494,40576.8621,127.6001953,1.003,34.3338
Busoga,Bugiri District,71,46,117,26836,15401,42237,41132,14241,55373,23628,19191,42819,30692,28567,59259,71,46,117,26664,15531,42195,288780,312828,601608,40725,14091,54816,30512,28383,58895,23519,19067,42586,71,46,117,26680,15335,42015,40813,14114,54927,30495,78846,109341,23459,19050,42509,2505,3281,5786,122359,77446,199805,30763,28613,59376,382913,480345,1033,1.022928589,459052.8011,444.3879972,0.5316, 33.7518
Bugisu,Bugisu,129,84,213,71866,54837,126703,123027,68812,191839,39830,33250,73080,54713,47488,102201,123,114,237,69371,49164,118535,588106,707024,1295130,116185,65147,181332,52723,45777,98500,38371,35124,73495,119,66,185,67980,48131,116111,113967,64067,178034,51729,175702,227431,37455,34187,71642,4867,9178,14045,289565,204471,494036,54842,47572,102414,1469892,1827757,2447,1.022029197,1749813.851,715.0853498,1.0783,34.1737
Busoga,Bugweri District,152,156,308,14011,8785,22796,22661,8979,31640,10479,8668,19147,13869,12502,26371,152,156,308,14045,8674,22719,137090,151808,288898,22116,8772,30888,13568,12235,25803,10333,8557,18890,159,164,323,13522,8514,22036,21601,8652,30253,13365,37025,50390,10127,8360,18487,908,1815,2723,61172,39090,100262,14021,12658,26679,164886,211511,302,1.025214919,201234.8171,666.340454,0.6116,33.5952
Ankole,Buhweju District,1,0,1,830,820,1650,1191,922,2113,552,368,920,403,338,741,1,0,1,809,815,1624,6572,7302,13874,1137,901,2038,377,325,702,545,365,910,1,0,1,795,811,1606,1114,874,1988,375,1728,2103,544,362,906,7,52,59,2977,2448,5425,404,338,742,12072,167921,751,1.301165617,99183.59711,132.0687045,0.3558,30.3897
North Central,Buikwe District,76,61,137,20672,16160,36832,30087,20703,50790,14009,11792,25801,15731,14185,29916,46,48,94,19713,15540,35253,182128,202798,384926,28285,19889,48174,14924,13513,28437,13420,11273,24693,48,47,95,19678,15504,35182,28070,19819,47889,14883,52093,66976,13417,11275,24692,1077,2773,3850,80575,62901,143476,15807,14246,30053,422771,520158,1270,1.020946558,499032.9978,392.9393684,0.2827, 33.0339
