Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
West Nile,Nebbi District,22,11,33,23765,13079,36844,31240,12355,43595,13397,11308,24705,21306,20937,42243,20,10,30,23238,13141,36379,31108,12176,43284,21259,20884,42143,13254,11231,24485,20,9,29,23052,13018,36070,30906,12057,42963,21107,20722,41829,13121,11113,24234,1514,2979,4493,68424,57690,126114,21328,20948,42276,238757,299398,987,1.022890813,273483.9112,277.0860296,2.4104,31.2168
Teso,Ngora District,7,14,21,18068,9328,27396,23049,8046,31095,8820,6363,15183,8655,7441,16096,5,7,12,17897,9294,27191,22837,7747,30584,8369,7286,15655,8684,6239,14923,4,6,10,16765,8531,25296,21182,7318,28500,7861,6853,14714,8136,5777,13913,1521,3020,4541,49944,31192,81136,8662,7455,16117,141919,213777,640,1.041818448,181464.9711,283.5390173,1.4908,33.7518
North Central,North Central,482,359,841,199780,152399,352179,286140,187226,473366,131859,114598,246457,142740,133948,276688,379,352,731,189596,148570,338166,264751,171739,436490,136091,126596,262687,125750,109519,235269,415,278,693,187434,144617,332051,260925,169809,430734,136674,125574,262248,124430,108064,232494,8642,21098,29740,618261,588530,1206791,143222,134307,277529,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
Tooro,Ntoroko District,11,0,11,970,665,1635,1349,918,2267,574,443,1017,512,548,1060,11,0,11,946,656,1602,1336,892,2228,502,536,1038,567,441,1008,11,0,11,944,657,1601,1317,875,2192,498,534,1032,564,440,1004,50,85,135,2904,2574,5478,523,548,1071,67005,114858,1236,1.055371602,92584.78757,74.90678606,1.0125,30.3897
Ankole,Ntungamo District,23,23,46,7371,6244,13615,12862,8564,21426,2968,2512,5480,2263,2141,4404,22,20,42,6831,5857,12688,11468,7491,18959,1962,1864,3826,2687,2298,4985,22,20,42,6767,5827,12594,11703,7943,19646,1987,1933,3920,2630,2310,4940,142,517,659,23224,19484,42708,2286,2164,4450,483841,552786,1999,1.013410587,524101.3617,262.1817718,0.9807,30.2513
Acholi,Nwoya District,30,38,68,20537,11737,32274,22689,8819,31508,12403,9686,22089,15861,14750,30611,27,36,63,19755,11378,31133,21053,8226,29279,15350,14313,29663,12078,9429,21507,25,33,58,19673,11335,31008,20833,8106,28939,15247,14204,29451,12019,9360,21379,1003,2037,3040,55659,45030,100689,15891,14788,30679,133506,220593,4679,1.051499558,180449.3616,38.56579644,2.6351,32.0028
West Nile,Obongi District,15,23,38,27900,17780,45680,26519,9544,36063,14579,12838,27417,19878,19466,39344,6,10,16,22585,15203,37788,16026,5678,21704,15664,15268,30932,12771,11620,24391,5,10,15,21970,14854,36824,15354,5433,20787,15276,14933,30209,12415,11291,23706,409,917,1326,69013,59651,128664,19893,19489,39382,43061,142983,837,1.127509032,88471.6827,105.7009351,3.4335,31.5827
Acholi,Omoro District,12,7,19,35135,17696,52831,32071,10305,42376,16501,12523,29024,17472,15967,33439,9,6,15,34872,17606,52478,32076,10296,42372,17346,15839,33185,16283,12434,28717,9,5,14,34662,17523,52185,31508,10227,41735,17230,15705,32935,16480,12381,28861,1549,2836,4385,83719,56498,140217,17484,15974,33458,142875,207339,1483,1.037940541,178645.0953,120.4619658,2.7152,32.492
Lango,Otuke District,5,14,19,8407,4530,12937,10232,3543,13775,4194,3409,7603,5235,4833,10068,2,2,4,8406,4530,12936,10232,3547,13779,5235,4833,10068,4194,3409,7603,2,2,4,8406,4529,12935,10232,3545,13777,5234,4833,10067,4184,3409,7593,252,402,654,22838,16329,39167,5240,4847,10087,104254,161069,1549,1.044460267,135345.6394,87.37613907,2.5214,33.3486
Lango,Oyam District,111,101,212,47484,21277,68761,58336,22338,80674,21414,15366,36780,23436,21213,44649,110,99,209,46799,20762,67561,54394,21878,76272,23144,20977,44121,20971,15020,35991,110,99,209,46516,20656,67172,54063,21872,75935,23016,21139,44155,20850,14940,35790,4581,8602,13183,127345,80295,207640,23547,21314,44861,383644,477464,2196,1.022118437,437457.3758,199.2064553,2.2776,32.4467
Acholi,Pader District,22,20,42,55716,30917,86633,45450,16975,62425,24776,19237,44013,24930,23090,48020,19,97,116,54124,30080,84204,42651,15904,58555,24068,22320,46388,24003,18747,42750,25,23,48,53669,29793,83462,43527,15703,59230,23916,22250,46166,23909,18598,42507,1403,2538,3941,125964,90239,216203,24952,23110,48062,178004,240159,3326,1.030402516,213044.9404,64.0544018,2.9431,32.8084
West Nile,Pakwach District,47,40,87,22182,11081,33263,23289,9377,32666,12733,9599,22332,14909,14627,29536,47,39,86,22180,11072,33252,23203,9365,32568,15094,14605,29699,12715,9587,22302,47,39,86,21397,10686,32083,22517,9224,31741,14780,14276,29056,12244,9252,21496,894,2172,3066,58251,44724,102975,14956,14667,29623,158037,206961,877,1.027337104,185796.111,211.8541744,2.4738,31.3999
Bukedi,Pallisa District,3,2,5,5855,3523,9378,8459,3573,12032,3865,3128,6993,6137,5840,11977,1,2,3,5783,3472,9255,8294,3498,11792,5899,5631,11530,3814,3106,6920,1,2,3,5612,3373,8985,8019,3370,11389,5806,5510,11316,3717,3005,6722,369,558,927,18182,16066,34248,6140,5842,11982,275128,334697,796,1.01979224,309460.347,388.7692802,1.2009,33.7071
South Central,Rakai District,4,1,5,20593,15703,36296,22016,12983,34999,10916,9323,20239,8376,7930,16306,4,1,5,20427,15643,36070,21748,12892,34640,8281,7854,16135,10838,9277,20115,4,1,5,20166,15454,35620,21579,12761,34340,8238,7795,16033,10711,9181,19892,360,853,1213,53529,45940,99469,8380,7931,16311,276746,346885,1528,1.02284639,316915.772,207.4056099,0.7083,31.3542
